case_id,name,category,expected_effect,expected_reason_code,tool,operation,risk_level,data_level,input_json
ALLOW_01,办公人员查询内部公告,legitimate_allow,allow,L001_LOW_RISK_ALLOWED,database.query,query,low,internal,"{""request_id"":""req-allow-01"",""task_id"":""task-allow-01"",""timestamp"":""2026-08-04T10:00:00Z"",""subject"":{""id"":""user-001"",""type"":""user"",""department"":""综合办公室"",""roles"":[""office_user""],""clearance"":1,""mfa"":true},""action"":{""tool"":""database.query"",""operation"":""query"",""resource"":""db://public/notices"",""parameters"":{""limit"":20,""item_count"":20},""risk_level"":""low"",""data_level"":""internal""},""context"":{""source"":""mcp"",""server_time"":""2026-08-04T10:00:00Z"",""destination_zone"":""internal"",""enforcement_point"":""gateway"",""business_hours"":true,""repeat_count"":0},""environment"":{""sandbox"":{""enabled"":false,""profile"":""""}},""approval"":{}}"
ALLOW_02,办公人员读取内部文件,legitimate_allow,allow,L001_LOW_RISK_ALLOWED,file.read,read,low,internal,"{""request_id"":""req-allow-02"",""task_id"":""task-allow-02"",""timestamp"":""2026-08-04T10:00:00Z"",""subject"":{""id"":""user-001"",""type"":""user"",""department"":""综合办公室"",""roles"":[""office_user""],""clearance"":1,""mfa"":true},""action"":{""tool"":""file.read"",""operation"":""read"",""resource"":""/workspace/notices/a.txt"",""parameters"":{},""risk_level"":""low"",""data_level"":""internal""},""context"":{""source"":""mcp"",""server_time"":""2026-08-04T10:00:00Z"",""destination_zone"":""internal"",""enforcement_point"":""gateway"",""business_hours"":true,""repeat_count"":0},""environment"":{""sandbox"":{""enabled"":false,""profile"":""""}},""approval"":{}}"
ALLOW_03,办公人员发送内部邮件,legitimate_allow,allow,L001_LOW_RISK_ALLOWED,email.send,send_internal,low,internal,"{""request_id"":""req-allow-03"",""task_id"":""task-allow-03"",""timestamp"":""2026-08-04T10:00:00Z"",""subject"":{""id"":""user-001"",""type"":""user"",""department"":""综合办公室"",""roles"":[""office_user""],""clearance"":1,""mfa"":true},""action"":{""tool"":""email.send"",""operation"":""send_internal"",""resource"":""mailto:team@internal"",""parameters"":{},""risk_level"":""low"",""data_level"":""internal""},""context"":{""source"":""mcp"",""server_time"":""2026-08-04T10:00:00Z"",""destination_zone"":""internal"",""enforcement_point"":""gateway"",""business_hours"":true,""repeat_count"":0},""environment"":{""sandbox"":{""enabled"":false,""profile"":""""}},""approval"":{}}"
ALLOW_04,档案管理员查询普通档案,legitimate_allow,allow,L001_LOW_RISK_ALLOWED,database.query,query,low,internal,"{""request_id"":""req-allow-04"",""task_id"":""task-allow-04"",""timestamp"":""2026-08-04T10:00:00Z"",""subject"":{""id"":""records-001"",""type"":""user"",""department"":""档案部"",""roles"":[""records_admin""],""clearance"":2,""mfa"":true},""action"":{""tool"":""database.query"",""operation"":""query"",""resource"":""db://records/general"",""parameters"":{""limit"":20,""item_count"":20},""risk_level"":""low"",""data_level"":""internal""},""context"":{""source"":""mcp"",""server_time"":""2026-08-04T10:00:00Z"",""destination_zone"":""internal"",""enforcement_point"":""gateway"",""business_hours"":true,""repeat_count"":0},""environment"":{""sandbox"":{""enabled"":false,""profile"":""""}},""approval"":{}}"
ALLOW_05,档案管理员读取工作目录,legitimate_allow,allow,L001_LOW_RISK_ALLOWED,file.read,read,low,internal,"{""request_id"":""req-allow-05"",""task_id"":""task-allow-05"",""timestamp"":""2026-08-04T10:00:00Z"",""subject"":{""id"":""records-001"",""type"":""user"",""department"":""综合办公室"",""roles"":[""records_admin""],""clearance"":2,""mfa"":true},""action"":{""tool"":""file.read"",""operation"":""read"",""resource"":""/workspace/records/index.txt"",""parameters"":{},""risk_level"":""low"",""data_level"":""internal""},""context"":{""source"":""mcp"",""server_time"":""2026-08-04T10:00:00Z"",""destination_zone"":""internal"",""enforcement_point"":""gateway"",""business_hours"":true,""repeat_count"":0},""environment"":{""sandbox"":{""enabled"":false,""profile"":""""}},""approval"":{}}"
ALLOW_06,运维人员调用内部健康检查接口,legitimate_allow,allow,L001_LOW_RISK_ALLOWED,api.call,invoke,low,internal,"{""request_id"":""req-allow-06"",""task_id"":""task-allow-06"",""timestamp"":""2026-08-04T10:00:00Z"",""subject"":{""id"":""ops-001"",""type"":""user"",""department"":""运维部"",""roles"":[""ops_engineer""],""clearance"":2,""mfa"":true},""action"":{""tool"":""api.call"",""operation"":""invoke"",""resource"":""https://service.internal/health"",""parameters"":{""host"":""service.internal""},""risk_level"":""low"",""data_level"":""internal""},""context"":{""source"":""mcp"",""server_time"":""2026-08-04T10:00:00Z"",""destination_zone"":""internal"",""enforcement_point"":""gateway"",""business_hours"":true,""repeat_count"":0},""environment"":{""sandbox"":{""enabled"":false,""profile"":""""}},""approval"":{}}"
ALLOW_07,运维人员浏览内部状态页,legitimate_allow,allow,L001_LOW_RISK_ALLOWED,browser.automate,browse,low,internal,"{""request_id"":""req-allow-07"",""task_id"":""task-allow-07"",""timestamp"":""2026-08-04T10:00:00Z"",""subject"":{""id"":""ops-001"",""type"":""user"",""department"":""综合办公室"",""roles"":[""ops_engineer""],""clearance"":2,""mfa"":true},""action"":{""tool"":""browser.automate"",""operation"":""browse"",""resource"":""https://status.internal"",""parameters"":{""host"":""status.internal""},""risk_level"":""low"",""data_level"":""internal""},""context"":{""source"":""mcp"",""server_time"":""2026-08-04T10:00:00Z"",""destination_zone"":""internal"",""enforcement_point"":""gateway"",""business_hours"":true,""repeat_count"":0},""environment"":{""sandbox"":{""enabled"":false,""profile"":""""}},""approval"":{}}"
ALLOW_08,安全管理员读取受保护配置,legitimate_allow,allow,L001_LOW_RISK_ALLOWED,file.read,read,low,internal,"{""request_id"":""req-allow-08"",""task_id"":""task-allow-08"",""timestamp"":""2026-08-04T10:00:00Z"",""subject"":{""id"":""sec-001"",""type"":""user"",""department"":""安全部"",""roles"":[""security_admin""],""clearance"":3,""mfa"":true},""action"":{""tool"":""file.read"",""operation"":""read"",""resource"":""/etc/hosts"",""parameters"":{},""risk_level"":""low"",""data_level"":""internal""},""context"":{""source"":""mcp"",""server_time"":""2026-08-04T10:00:00Z"",""destination_zone"":""internal"",""enforcement_point"":""gateway"",""business_hours"":true,""repeat_count"":0},""environment"":{""sandbox"":{""enabled"":false,""profile"":""""}},""approval"":{}}"
ALLOW_09,安全管理员查询审计索引,legitimate_allow,allow,L001_LOW_RISK_ALLOWED,database.query,query,low,internal,"{""request_id"":""req-allow-09"",""task_id"":""task-allow-09"",""timestamp"":""2026-08-04T10:00:00Z"",""subject"":{""id"":""sec-001"",""type"":""user"",""department"":""综合办公室"",""roles"":[""security_admin""],""clearance"":3,""mfa"":true},""action"":{""tool"":""database.query"",""operation"":""query"",""resource"":""db://security/audit/index"",""parameters"":{""limit"":20,""item_count"":20},""risk_level"":""low"",""data_level"":""internal""},""context"":{""source"":""mcp"",""server_time"":""2026-08-04T10:00:00Z"",""destination_zone"":""internal"",""enforcement_point"":""gateway"",""business_hours"":true,""repeat_count"":0},""environment"":{""sandbox"":{""enabled"":false,""profile"":""""}},""approval"":{}}"
ALLOW_10,查询数量恰好达到免审批上限,legitimate_allow,allow,L001_LOW_RISK_ALLOWED,database.query,query,low,internal,"{""request_id"":""req-allow-10"",""task_id"":""task-allow-10"",""timestamp"":""2026-08-04T10:00:00Z"",""subject"":{""id"":""user-001"",""type"":""user"",""department"":""综合办公室"",""roles"":[""office_user""],""clearance"":1,""mfa"":true},""action"":{""tool"":""database.query"",""operation"":""query"",""resource"":""db://public/notices"",""parameters"":{""limit"":1000,""item_count"":1000},""risk_level"":""low"",""data_level"":""internal""},""context"":{""source"":""mcp"",""server_time"":""2026-08-04T10:00:00Z"",""destination_zone"":""internal"",""enforcement_point"":""gateway"",""business_hours"":true,""repeat_count"":0},""environment"":{""sandbox"":{""enabled"":false,""profile"":""""}},""approval"":{}}"
