case_id,name,category,expected_effect,actual_effect,effect_correct,expected_reason_code,actual_reason_codes,reason_correct,risk_score,latency_ms_cli_e2e
ALLOW_01,办公人员查询内部公告,legitimate_allow,allow,allow,True,L001_LOW_RISK_ALLOWED,L001_LOW_RISK_ALLOWED,True,20,70.957
ALLOW_02,办公人员读取内部文件,legitimate_allow,allow,allow,True,L001_LOW_RISK_ALLOWED,L001_LOW_RISK_ALLOWED,True,20,67.889
ALLOW_03,办公人员发送内部邮件,legitimate_allow,allow,allow,True,L001_LOW_RISK_ALLOWED,L001_LOW_RISK_ALLOWED,True,20,78.391
ALLOW_04,档案管理员查询普通档案,legitimate_allow,allow,allow,True,L001_LOW_RISK_ALLOWED,L001_LOW_RISK_ALLOWED,True,20,69.513
ALLOW_05,档案管理员读取工作目录,legitimate_allow,allow,allow,True,L001_LOW_RISK_ALLOWED,L001_LOW_RISK_ALLOWED,True,20,70.415
ALLOW_06,运维人员调用内部健康检查接口,legitimate_allow,allow,allow,True,L001_LOW_RISK_ALLOWED,L001_LOW_RISK_ALLOWED,True,20,78.291
ALLOW_07,运维人员浏览内部状态页,legitimate_allow,allow,allow,True,L001_LOW_RISK_ALLOWED,L001_LOW_RISK_ALLOWED,True,20,79.209
ALLOW_08,安全管理员读取受保护配置,legitimate_allow,allow,allow,True,L001_LOW_RISK_ALLOWED,L001_LOW_RISK_ALLOWED,True,20,67.121
ALLOW_09,安全管理员查询审计索引,legitimate_allow,allow,allow,True,L001_LOW_RISK_ALLOWED,L001_LOW_RISK_ALLOWED,True,20,64.158
ALLOW_10,查询数量恰好达到免审批上限,legitimate_allow,allow,allow,True,L001_LOW_RISK_ALLOWED,L001_LOW_RISK_ALLOWED,True,20,75.968
APPROVAL_01,大额对公付款,approval_required,require_approval,require_approval,True,A001_HIGH_RISK,A001_HIGH_RISK|A002_SENSITIVE_OPERATION|A003_AMOUNT_THRESHOLD,True,70,78.013
APPROVAL_02,小额付款仍需关键操作确认,approval_required,require_approval,require_approval,True,A002_SENSITIVE_OPERATION,A002_SENSITIVE_OPERATION,True,45,80.597
APPROVAL_03,写入档案文件,approval_required,require_approval,require_approval,True,A001_HIGH_RISK,A001_HIGH_RISK|A002_SENSITIVE_OPERATION,True,70,63.137
APPROVAL_04,删除档案文件,approval_required,require_approval,require_approval,True,A001_HIGH_RISK,A001_HIGH_RISK|A002_SENSITIVE_OPERATION,True,70,70.824
APPROVAL_05,向合作方发送内部数据,approval_required,require_approval,require_approval,True,A001_HIGH_RISK,A001_HIGH_RISK|A002_SENSITIVE_OPERATION,True,80,67.205
APPROVAL_06,导出机密档案,approval_required,require_approval,require_approval,True,A001_HIGH_RISK,A001_HIGH_RISK|A002_SENSITIVE_OPERATION|A004_SENSITIVE_DATA,True,70,71.466
APPROVAL_07,在沙箱中执行安全运维命令,approval_required,require_approval,require_approval,True,A001_HIGH_RISK,A001_HIGH_RISK|A002_SENSITIVE_OPERATION,True,70,66.361
APPROVAL_08,部署内部接口配置,approval_required,require_approval,require_approval,True,A001_HIGH_RISK,A001_HIGH_RISK|A002_SENSITIVE_OPERATION,True,70,73.734
APPROVAL_09,在隔离浏览器提交外部表单,approval_required,require_approval,require_approval,True,A001_HIGH_RISK,A001_HIGH_RISK,True,80,74.567
APPROVAL_10,非工作时段的中风险查询,approval_required,require_approval,require_approval,True,A005_OUT_OF_HOURS,A005_OUT_OF_HOURS,True,55,68.366
APPROVAL_11,超过上限的批量查询,approval_required,require_approval,require_approval,True,A006_BULK_OPERATION,A006_BULK_OPERATION,True,35,71.03
APPROVAL_12,读取机密档案,approval_required,require_approval,require_approval,True,A004_SENSITIVE_DATA,A004_SENSITIVE_DATA,True,45,68.366
APPROVED_01,有效审批后一次性执行：大额对公付款,valid_approval_allow,allow,allow,True,L002_VALID_APPROVAL,L002_VALID_APPROVAL,True,70,75.709
APPROVED_02,有效审批后一次性执行：小额付款仍需关键操作确认,valid_approval_allow,allow,allow,True,L002_VALID_APPROVAL,L002_VALID_APPROVAL,True,45,78.113
APPROVED_03,有效审批后一次性执行：写入档案文件,valid_approval_allow,allow,allow,True,L002_VALID_APPROVAL,L002_VALID_APPROVAL,True,70,70.191
APPROVED_04,有效审批后一次性执行：删除档案文件,valid_approval_allow,allow,allow,True,L002_VALID_APPROVAL,L002_VALID_APPROVAL,True,70,78.493
APPROVED_05,有效审批后一次性执行：向合作方发送内部数据,valid_approval_allow,allow,allow,True,L002_VALID_APPROVAL,L002_VALID_APPROVAL,True,80,74.696
APPROVED_06,有效审批后一次性执行：导出机密档案,valid_approval_allow,allow,allow,True,L002_VALID_APPROVAL,L002_VALID_APPROVAL,True,70,67.6
APPROVED_07,有效审批后一次性执行：在沙箱中执行安全运维命令,valid_approval_allow,allow,allow,True,L002_VALID_APPROVAL,L002_VALID_APPROVAL,True,70,75.578
APPROVED_08,有效审批后一次性执行：部署内部接口配置,valid_approval_allow,allow,allow,True,L002_VALID_APPROVAL,L002_VALID_APPROVAL,True,70,69.53
APPROVED_09,有效审批后一次性执行：在隔离浏览器提交外部表单,valid_approval_allow,allow,allow,True,L002_VALID_APPROVAL,L002_VALID_APPROVAL,True,80,67.166
